creationDate,startDate,endDate
2019-05-24 09:45:14 -0500,2019-05-24 09:38:04 -0500,2019-05-24 09:38:08 -0500
2019-05-24 09:45:09 -0500,2019-05-24 09:40:08 -0500,2019-05-24 09:44:36 -0500
2019-05-24 09:45:14 -0500,2019-05-24 09:40:08 -0500,2019-05-24 09:44:36 -0500
2019-05-27 09:45:08 -0500,2019-05-27 09:43:24 -0500,2019-05-27 09:45:02 -0500
2019-05-28 09:45:04 -0500,2019-05-28 01:10:00 -0500,2019-05-28 07:39:20 -0500
2019-05-28 09:45:04 -0500,2019-05-28 07:39:52 -0500,2019-05-28 08:07:12 -0500
2019-05-28 09:45:04 -0500,2019-05-28 08:07:16 -0500,2019-05-28 08:07:24 -0500
2019-05-28 09:45:04 -0500,2019-05-28 08:08:08 -0500,2019-05-28 09:19:40 -0500
2019-05-28 09:45:04 -0500,2019-05-28 09:19:44 -0500,2019-05-28 09:19:48 -0500
2019-05-28 09:45:04 -0500,2019-05-28 09:29:12 -0500,2019-05-28 09:29:20 -0500
2019-05-29 09:52:49 -0500,2019-05-29 09:37:56 -0500,2019-05-29 09:52:43 -0500
2019-05-30 09:45:08 -0500,2019-05-30 09:41:08 -0500,2019-05-30 09:42:20 -0500
2019-05-31 09:45:03 -0500,2019-05-31 01:10:00 -0500,2019-05-31 03:59:36 -0500
2019-05-31 09:45:03 -0500,2019-05-31 04:00:16 -0500,2019-05-31 08:36:44 -0500
2019-05-31 09:45:03 -0500,2019-05-31 08:36:52 -0500,2019-05-31 08:37:00 -0500
2019-05-31 09:45:03 -0500,2019-05-31 08:40:04 -0500,2019-05-31 08:40:08 -0500
2019-05-31 09:45:03 -0500,2019-05-31 08:42:48 -0500,2019-05-31 08:42:56 -0500
2019-05-31 09:45:03 -0500,2019-05-31 08:59:52 -0500,2019-05-31 08:59:56 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:01:48 -0500,2019-05-31 09:03:32 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:16:24 -0500,2019-05-31 09:17:48 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:17:48 -0500,2019-05-31 09:18:00 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:28:12 -0500,2019-05-31 09:28:16 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:28:56 -0500,2019-05-31 09:29:20 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:29:24 -0500,2019-05-31 09:29:36 -0500
2019-05-31 09:45:03 -0500,2019-05-31 09:41:24 -0500,2019-05-31 09:43:28 -0500
2019-06-24 05:46:00 -0500,2019-06-24 01:25:44 -0500,2019-06-24 05:45:54 -0500
2019-06-25 06:45:20 -0500,2019-06-25 01:26:12 -0500,2019-06-25 06:45:15 -0500
2019-06-26 09:34:19 -0500,2019-06-26 01:23:16 -0500,2019-06-26 09:34:14 -0500
2019-06-27 05:52:22 -0500,2019-06-27 00:55:00 -0500,2019-06-27 05:52:22 -0500
2019-07-08 07:46:32 -0500,2019-07-08 01:30:00 -0500,2019-07-08 07:46:32 -0500
2019-07-09 07:37:37 -0500,2019-07-09 00:55:00 -0500,2019-07-09 07:37:37 -0500
2019-07-10 05:30:06 -0500,2019-07-09 22:45:00 -0500,2019-07-10 05:30:06 -0500
2019-07-11 05:35:35 -0500,2019-07-10 23:35:00 -0500,2019-07-11 05:35:35 -0500
2019-07-12 05:35:04 -0500,2019-07-11 23:35:00 -0500,2019-07-12 05:35:04 -0500
2019-07-15 05:04:45 -0500,2019-07-14 22:05:00 -0500,2019-07-15 05:04:45 -0500
2019-07-17 06:49:42 -0500,2019-07-16 23:05:00 -0500,2019-07-17 06:43:16 -0500
2019-07-17 06:49:42 -0500,2019-07-17 06:48:56 -0500,2019-07-17 06:49:42 -0500
2019-07-18 05:44:59 -0500,2019-07-17 23:05:00 -0500,2019-07-18 05:44:59 -0500
2019-07-19 06:03:59 -0500,2019-07-18 23:05:00 -0500,2019-07-19 06:03:59 -0500
2019-07-23 06:40:02 -0500,2019-07-23 00:12:24 -0500,2019-07-23 06:20:20 -0500
2019-07-23 06:40:02 -0500,2019-07-23 06:21:40 -0500,2019-07-23 06:25:28 -0500
2019-07-23 06:40:02 -0500,2019-07-23 06:27:16 -0500,2019-07-23 06:40:01 -0500
2019-07-24 06:38:11 -0500,2019-07-23 23:19:44 -0500,2019-07-24 06:38:06 -0500
2019-07-25 06:21:30 -0500,2019-07-24 23:05:00 -0500,2019-07-25 06:21:30 -0500
2019-07-26 06:26:44 -0500,2019-07-25 23:05:00 -0500,2019-07-26 06:26:44 -0500
2019-07-29 06:10:03 -0500,2019-07-28 23:05:00 -0500,2019-07-29 06:10:03 -0500
2019-07-30 06:15:23 -0500,2019-07-29 23:38:28 -0500,2019-07-30 06:15:18 -0500
2019-07-31 06:10:22 -0500,2019-07-30 23:40:12 -0500,2019-07-31 06:09:16 -0500
2019-07-31 06:10:27 -0500,2019-07-30 23:40:12 -0500,2019-07-31 06:09:16 -0500
2019-07-31 06:10:22 -0500,2019-07-31 06:09:24 -0500,2019-07-31 06:09:28 -0500
2019-07-31 06:10:27 -0500,2019-07-31 06:09:24 -0500,2019-07-31 06:09:28 -0500
2019-08-01 06:11:52 -0500,2019-07-31 23:59:48 -0500,2019-08-01 06:11:46 -0500
2019-08-02 06:12:42 -0500,2019-08-01 23:05:00 -0500,2019-08-02 01:11:44 -0500
2019-08-02 06:12:42 -0500,2019-08-02 01:12:24 -0500,2019-08-02 02:29:32 -0500
2019-08-02 06:12:42 -0500,2019-08-02 02:29:40 -0500,2019-08-02 06:12:42 -0500
2019-08-05 06:14:27 -0500,2019-08-04 23:05:00 -0500,2019-08-05 06:14:27 -0500
2019-08-06 06:16:39 -0500,2019-08-05 23:06:16 -0500,2019-08-06 06:16:34 -0500
2019-08-07 06:32:07 -0500,2019-08-06 23:05:00 -0500,2019-08-07 06:32:07 -0500
2019-08-08 06:10:12 -0500,2019-08-07 23:35:08 -0500,2019-08-08 06:03:44 -0500
2019-08-08 06:10:12 -0500,2019-08-08 06:05:16 -0500,2019-08-08 06:05:48 -0500
2019-08-08 06:10:12 -0500,2019-08-08 06:06:36 -0500,2019-08-08 06:08:16 -0500
2019-08-09 06:10:52 -0500,2019-08-08 23:05:00 -0500,2019-08-09 06:10:52 -0500
2019-08-12 06:21:38 -0500,2019-08-12 02:47:25 -0500,2019-08-12 06:21:33 -0500
2019-08-13 06:19:51 -0500,2019-08-12 23:05:00 -0500,2019-08-13 06:19:51 -0500
2019-08-14 06:35:24 -0500,2019-08-14 00:43:24 -0500,2019-08-14 06:20:28 -0500
2019-08-14 06:35:24 -0500,2019-08-14 06:21:00 -0500,2019-08-14 06:35:18 -0500
2019-08-15 06:56:48 -0500,2019-08-14 23:10:00 -0500,2019-08-15 06:56:48 -0500
2019-08-16 06:10:07 -0500,2019-08-16 00:02:02 -0500,2019-08-16 06:03:04 -0500
2019-08-16 06:10:07 -0500,2019-08-16 06:04:12 -0500,2019-08-16 06:06:08 -0500
2019-08-19 06:35:55 -0500,2019-08-18 23:10:00 -0500,2019-08-19 06:08:08 -0500
2019-08-19 06:35:55 -0500,2019-08-19 06:08:40 -0500,2019-08-19 06:35:55 -0500
2019-08-20 06:36:18 -0500,2019-08-19 23:10:00 -0500,2019-08-20 06:36:18 -0500
2019-08-21 07:26:29 -0500,2019-08-21 06:16:24 -0500,2019-08-21 07:26:23 -0500
2019-08-22 06:20:41 -0500,2019-08-21 23:59:08 -0500,2019-08-22 06:01:20 -0500
2019-08-22 06:20:41 -0500,2019-08-22 06:01:52 -0500,2019-08-22 06:20:36 -0500
2019-08-23 06:22:08 -0500,2019-08-22 23:10:00 -0500,2019-08-23 06:22:08 -0500
2019-08-26 06:30:14 -0500,2019-08-25 23:10:00 -0500,2019-08-26 06:30:13 -0500
2019-08-27 06:20:06 -0500,2019-08-26 23:10:00 -0500,2019-08-27 05:31:48 -0500
2019-08-27 06:20:06 -0500,2019-08-27 05:31:52 -0500,2019-08-27 05:31:56 -0500
2019-08-27 06:20:06 -0500,2019-08-27 05:32:40 -0500,2019-08-27 05:33:28 -0500
2019-08-27 06:20:06 -0500,2019-08-27 06:10:56 -0500,2019-08-27 06:15:16 -0500
2019-08-27 06:20:06 -0500,2019-08-27 06:16:04 -0500,2019-08-27 06:20:06 -0500
2019-08-28 06:22:46 -0500,2019-08-27 23:21:04 -0500,2019-08-28 06:22:41 -0500
2019-08-29 06:24:20 -0500,2019-08-28 23:10:00 -0500,2019-08-29 06:12:00 -0500
2019-08-29 06:24:20 -0500,2019-08-29 06:12:48 -0500,2019-08-29 06:24:19 -0500
2019-08-30 06:20:18 -0500,2019-08-29 23:44:34 -0500,2019-08-30 06:17:24 -0500
2019-08-30 06:20:18 -0500,2019-08-30 06:18:00 -0500,2019-08-30 06:20:12 -0500
2019-09-02 07:07:33 -0500,2019-09-01 23:19:47 -0500,2019-09-02 07:07:28 -0500
2019-09-03 06:41:21 -0500,2019-09-03 01:42:54 -0500,2019-09-03 06:39:48 -0500
2019-09-03 06:41:26 -0500,2019-09-03 01:42:54 -0500,2019-09-03 06:39:48 -0500
2019-09-04 06:30:05 -0500,2019-09-03 23:10:00 -0500,2019-09-04 06:29:48 -0500
2019-09-05 06:44:30 -0500,2019-09-04 23:32:04 -0500,2019-09-05 06:44:30 -0500
2019-09-06 06:48:37 -0500,2019-09-06 00:06:01 -0500,2019-09-06 06:48:32 -0500
2019-09-09 06:36:33 -0500,2019-09-08 23:10:00 -0500,2019-09-09 06:36:33 -0500
2019-09-10 06:35:03 -0500,2019-09-09 23:10:00 -0500,2019-09-10 06:35:02 -0500
2019-09-11 06:35:06 -0500,2019-09-10 23:10:00 -0500,2019-09-11 06:35:06 -0500
